name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
Malvina Whiteford,Lucy Foster,3,2,2,6,3,1,2,4,2,2,5,2,1,2,7,2,2,2,8,5,6,7,7,5,6,5,6,3,4,5,6,6,5,7,7,1,7,8,8,4,5,8,8,8,8,7,7,7,8,8,8,6,8,8,8,8,8,6,8,8
Belle Catherall,Lucy Foster,3,5,4,4,1,1,3,8,2,5,1,1,3,1,2,5,1,4,4,8,7,6,8,5,8,5,4,4,1,7,4,7,5,6,5,4,8,8,8,8,8,6,4,2,6,8,8,8,8,8,8,8,4,7,8,7,8,8,8,8
Ortensia Winscomb,Lucy Foster,2,2,7,1,2,2,1,5,5,3,4,2,1,3,6,1,2,4,3,5,3,6,6,8,8,5,7,2,6,8,2,8,6,6,7,5,8,7,8,8,8,6,6,8,8,8,4,8,8,8,8,8,1,8,8,8,8,8,8,8
Staffard Load,Lucy Foster,3,4,3,2,4,2,1,8,3,2,2,4,3,7,2,2,2,5,8,5,4,8,8,4,6,6,4,4,5,5,6,7,7,3,8,5,8,8,8,3,8,8,8,7,8,8,8,8,6,8,8,8,4,7,8,8,8,8,8,8
Bowie Endersby,Lucy Foster,4,5,1,2,2,3,3,6,1,4,2,3,3,6,2,4,4,1,6,8,8,5,5,5,3,8,7,2,8,8,7,7,6,4,4,7,8,3,8,7,5,8,8,3,7,6,8,8,6,8,8,5,8,8,8,8,8,8,8,5
Tonye Ambrogio,Lucy Foster,3,5,3,4,1,2,2,1,3,4,2,5,1,1,3,5,1,2,4,7,8,8,2,4,8,6,5,8,7,8,8,5,5,4,6,5,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Celina Polley,Lucy Foster,2,3,3,6,2,2,2,2,7,3,1,5,2,3,3,8,3,2,6,7,7,6,8,6,8,8,4,6,5,8,5,6,4,6,8,6,8,2,8,8,8,8,8,6,8,8,8,8,8,6,4,5,8,6,8,8,8,8,8,8
Muhammad Linn,Lucy Foster,3,3,2,3,7,1,3,2,4,1,3,4,1,3,2,3,5,1,8,8,4,5,3,8,6,7,6,3,8,1,2,8,8,8,7,7,6,8,7,5,5,8,8,6,8,8,7,8,7,8,8,1,8,4,8,8,8,7,8,8
Farica Harding,Lucy Foster,4,4,1,3,1,4,5,4,6,5,3,4,3,3,2,3,2,4,8,7,6,6,5,5,3,8,5,8,6,7,5,8,8,2,5,8,8,8,8,8,8,8,8,7,5,7,8,7,8,8,8,4,8,7,8,8,8,8,8,8
Marquita Forrington,Lucy Foster,1,1,4,1,4,1,5,6,1,1,1,3,5,7,5,3,4,5,8,8,3,6,6,5,5,3,4,8,5,6,5,8,6,4,2,8,6,8,8,8,5,8,8,8,6,8,8,8,7,4,8,8,8,8,8,8,8,8,8,8
Muffin Jandel,Lucy Foster,5,4,3,5,3,1,3,3,5,2,1,3,1,1,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadya Pineaux,Lucy Foster,5,2,1,4,2,4,3,4,5,1,1,3,5,5,6,4,1,1,6,6,2,8,3,8,8,3,7,4,8,8,8,8,8,8,5,4,7,8,8,6,8,8,8,4,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8
Dewitt Milborn,Lucy Foster,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levy Standage,Lucy Foster,1,3,8,2,2,5,2,6,4,5,2,7,3,2,3,2,1,3,8,3,8,1,6,4,8,8,1,8,7,6,8,8,8,4,5,8,8,8,8,8,8,5,8,8,8,8,8,8,7,3,8,8,8,8,8,8,8,8,7,8
